	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
IL36G	3000.66381123507	5.36165478561619	0.158031396964944	33.9277820014814	2.59439992019619e-252	5.09851472316956e-248
KYNU	595.216428359046	4.46742072257534	0.135762562193507	32.9061314871751	1.79597950080516e-237	1.76472945749115e-233
AKR1B10	1787.81496545044	5.77883940576131	0.193493191978938	29.8658539179526	5.46540344142946e-196	3.58020361436572e-192
TMPRSS11D	686.763280819768	7.4374633784183	0.250908963693777	29.6420792184029	4.29036395534082e-193	2.10785581125894e-189
GJB2	28986.1650474712	4.21736867681759	0.142556324636254	29.5838763210164	2.4092333301443e-192	9.46925068079916e-189
AKR1B15	184.721381963393	5.19136154487689	0.176468592190364	29.4180481661958	3.22791625125651e-190	1.05725016949488e-186
PLA2G4D	4237.31558618484	4.38807459311086	0.151815186556986	28.904055599627	1.06172005652973e-183	2.98070322156033e-180
CDK5R1	219.797519967781	2.36564968396406	0.0863191019420569	27.4058653384977	2.33482618834241e-165	5.73550053166313e-162
C10orf99	1623.23247325178	5.09486407970418	0.185934625201845	27.4013733277132	2.64110737925991e-165	5.76700469080175e-162
FABP5	27956.0445866761	3.55726742871419	0.130320385325572	27.2963237472576	4.68998395640727e-164	9.21675647113156e-161
SPRR2A	26452.6278950848	6.53471383119264	0.239965430407775	27.2318967781657	2.72302885955231e-163	4.86481483162927e-160
S100A12	421.367253718805	7.98834014597393	0.293989501661082	27.1721952683299	1.38451761849409e-162	2.26737835322049e-159
RHCG	4256.28325715056	4.73829302408972	0.181655053360215	26.0840143802324	5.53605657335282e-150	8.36881413688689e-147
TPBG	1035.7251569966	1.86111120180631	0.0715828122227175	25.9994144406591	5.02820938566948e-149	7.0581693462269e-146
KRT6A	186326.895063509	4.35215236320307	0.1698969267222	25.6164278375637	1.00102296496702e-144	1.31147355383545e-141
VNN3	95.1026149704661	8.22644231010524	0.321700862371288	25.5717135772262	3.14931240496547e-144	3.86814296139884e-141
SERPINB3	23550.0969529237	6.25195749087686	0.245558542523904	25.4601506696443	5.44985820589968e-143	6.30003608602003e-140
HPSE	972.738320630316	2.81267341597319	0.111248437600078	25.2828127446099	4.93678080512495e-141	5.38986757679531e-138
IL36A	240.859200519847	9.4444567461786	0.376766418611492	25.0671404871605	1.13546513383512e-138	1.17442951632252e-135
ARNTL2	1479.63228981782	2.19441196807916	0.0891426797246488	24.6168499181025	8.33852679767171e-134	8.19343643139222e-131
SPRR2B	12138.5046027009	5.653629300315	0.231329223547732	24.4397539299588	6.46741525741764e-132	6.05226879232245e-129
SPRR2D	17674.0792597168	5.28277262222427	0.217170762495258	24.3254320311171	1.05521412589917e-130	9.42594000098657e-128
KLK13	1919.23477310628	3.94971745044374	0.162441723930439	24.3146733171528	1.37140683056366e-130	1.17177769714074e-127
BTC	135.539346620725	-4.180463268558	0.174515266556146	-23.9547138256414	8.25201939736453e-127	6.75702854987532e-124
TCN1	1899.50647881052	7.29916157431178	0.305934494033333	23.858576645223	8.24987238409173e-126	6.48505968368683e-123
PLBD1	2352.28559150087	2.02680264751947	0.0862731191670357	23.4928639081117	4.82476601351426e-122	3.64678083452239e-119
ABCG4	130.818779732791	4.41220682077763	0.190287844986071	23.1870134484974	6.15703055180233e-119	4.32135587157212e-116
PI3	29085.8670903488	7.59214755697962	0.327423724845824	23.1875303494106	6.08354068354504e-119	4.32135587157212e-116
FAM110C	771.545860260489	2.11215718468026	0.0911769631308506	23.1654697870234	1.0153534184735e-118	6.88059495856591e-116
PLA2G4E	4603.60499314477	2.35923599218631	0.101954487482533	23.1400897639792	1.82932487343769e-118	1.19832974709325e-115
CLEC7A	484.220816822184	2.47554793189798	0.108309226236392	22.856297823557	1.26514585748524e-115	8.02020851332258e-113
SLC6A14	2451.65300957122	4.19916130314442	0.183822988165512	22.8435047490554	1.69564916791392e-115	1.04134054524513e-112
SERPINB13	2679.7381683263	3.18855084071026	0.140021455600268	22.7718732607159	8.71410590550562e-115	5.18938209863626e-112
